企业名称,注册资本,风险信息,知识产权,对外投资,经营信息,舆情,企业评分
百时特灵（苏州）智能科技有限公司,1000,2,0,0,0,0,79.17
大互联网技术（苏州）有限公司,1000,5,0,0,0,0,78.67
大宇宙商业服务（苏州）有限公司,1500,2,0,0,0,0,81.67
丹牛（苏州）大数据科技有限公司,9800,0,0,0,0,0,78.67
华道数据处理（苏州）有限公司,13650,0,0.48,1,100,14,85
慧盾信息安全科技（苏州）股份有限公司,1500,1,0.32,0,24,160,79.17
婚礼宝贝网络科技（苏州）有限公司,500,1,0,0,0,1,78.33
江苏鼎云信息科技有限公司,1000,2,1.2,8,0,0,80
江苏广和慧云科技股份有限公司,15000,12,6.64,43,0,390,81.67
江苏禾尔思生物科技有限公司,1000,2,0.6,0,0,0,46.67
江苏龙芯梦兰信息安全技术有限公司,3000,1,1.02,0,0,149,80
江苏全付信息科技有限公司,1000,2,0.6,0,0,10,47.5
江苏苏大大数据科技有限公司,500,0,0.94,0,0,5,79.17
江苏太湖九次方大数据信息技术服务有限公司,1000,0,0,0,4,414,78.67
江苏通付盾信息安全技术有限公司,5000,15,6.14,0,86,1,80.83
江苏展桥网络科技有限公司,1000,1,0.34,1,16,0,80
江苏中茵鼎泰大数据信息技术服务有限公司,1000,0,0,0,0,6,78.67
昆山开发区大数据财税工作室,10,0,0,0,0,0,78.67
昆山市大数据文化传媒有限公司,10,0,0,0,0,1,76.67
品尚信息科技（苏州）有限公司,1000,4,2.62,1,1,5,79.17
平安数据科技（深圳）有限公司苏州分公司,10,0,0,0,0,10,78.33
启基永昌通讯（昆山）有限公司,11375,2,6.6,0,23,9,82.5
启佳通讯（昆山）有限公司,18200,0,0,0,100,1,83.33
启新通讯（昆山）有限公司,18200,1,0,0,0,3,81.67
荞麦数据科技（苏州）有限公司,500,1,0,1,0,1,78.33
苏州安永数据科技有限公司,1000,0,0,0,0,9,78.67
苏州百世康生物科技有限公司,500,4,0,0,0,0,79.17
苏州贝尔塔数据技术有限公司,1000,9,4.48,1,60,2,79.17
苏州比可网络科技有限公司,357.1428,10,1.22,1,10,2,78.33
苏州车厘子网络科技有限公司,100,0,0,0,0,1,77.5
苏州达农信息技术有限公司,50,2,0,0,0,0,78.67
苏州大渡轮网络科技有限公司,500,7,0.04,0,2,0,80
苏州大宇宙信息创造有限公司,1600,1,1.38,0,56,1,83.33
苏州稻城信息科技有限公司,100,0,0.16,0,0,0,78.67
苏州颠创网络科技有限公司,10,0,0,0,0,0,78.67
苏州鼎晟网络发展有限公司,879.67,0,0,0,0,0,80
苏州飞菜网络科技有限公司,100,0,0,0,0,0,77.5
苏州工业园区鑫联大数据科技有限公司,200,0,0,0,0,0,78.67
苏州国科综合数据中心有限公司,19500,12,0.66,0,68,1,85
苏州国云数据科技有限公司,3125,6,9.42,5,100,8,80
苏州翰成芯能源科技有限公司,500,4,0.02,1,0,1,78.33
苏州汇誉通数据科技有限公司,300,4,1.18,1,5,1,78.33
苏州杰拉德信息科技有限公司,520,1,0.04,0,0,0,78.33
苏州金溢宝大数据科技有限公司,600,5,1.24,0,0,0,79.17
苏州巨帮投融信息科技有限公司,100,0,0,0,0,0,77.5
苏州跬步信息技术有限公司,500,3,0.02,0,0,1,78.33
苏州蓝云治霾科技有限公司,100,0,0,0,0,0,78.67
苏州朗动网络科技有限公司,264.3754,8,1.28,1,100,1,78.33
苏州凌智大数据信息服务有限公司,500,0,0,0,0,0,78.67
苏州绿网环保科技有限公司,500,1,0,0,0,0,78.33
苏州绿云信息科技有限公司,100,2,0.04,0,0,0,78.67
苏州迈科网络安全技术股份有限公司,3941.475,5,10.28,2,15,8,84.17
苏州喵呜信息技术有限公司,100,1,0,0,0,1,77.5
苏州品荟网络科技有限公司,100,0,0,0,0,0,77.5
苏州普德邦网络技术有限公司,200,6,0,0,0,0,80.83
苏州企翼数据科技有限公司,100,0,0,0,0,0,78.67
苏州启蓝环保科技有限公司,200,4,0.6,0,0,1,78.67
苏州萨特斯软件科技有限公司,100,0,0,0,0,0,78.67
苏州神农大健康管理有限公司,50,0,1.26,0,1,1,78.67
苏州世纪飞越网络信息有限公司,1176.48,0,0,0,0,1,82.5
苏州市好易停智能科技有限公司,301,0,0,0,0,0,76.67
苏州市环亚数据技术有限公司,2000,13,1.02,2,7,0,80.83
苏州市千尺浪信息技术服务有限公司,100,0,0,0,0,0,78.33
苏州市荣协资产管理有限公司,2000,3,0,0,0,0,78.67
苏州泰融金融信息服务有限公司,500,21,100.96,15,120,103,78.67
苏州天宫信息技术有限公司,326.9839,13,0.08,3,15,1,77.5
苏州天帷智能城市规划设计有限公司,500,1,0,0,0,0,78.33
苏州拓辉医疗科技有限公司,100,3,1.1,1,3,1,77.5
苏州万汇天融物联科技有限公司,500,0,0,1,0,0,78.33
苏州我的农场信息科技有限公司,2000,2,0.3,0,0,3,79.17
苏州新科兰德科技有限公司,3086.0534,14,4.28,5,100,5,81.67
苏州星熙数据科技有限公司,100,5,0.64,0,0,0,77.5
苏州学古堂文化咨询有限公司,100,0,0,0,0,1,77.5
苏州云博信息技术有限公司,5000,3,7.72,1,28,1,81.67
苏州云联智慧信息技术应用有限公司,500,7,0.6,0,3,1,79.17
苏州震坤科技有限公司,48750,2,0.3,0,0,1,82.5
苏州中志信息科技有限公司,520,0,0,0,0,1,78.33
苏州蛛网数据科技有限公司,1000,0,0,0,0,0,78.67
太仓腾键软件科技有限公司,19.5,7,0,0,0,0,78.33
太仓西都信息技术咨询服务有限公司,200,0,0,0,0,20,85
同程网络科技股份有限公司,20269.083,5,8.28,1,0,19,80
西交利物浦苏州城市与环境研究院有限公司,100,0,0,0,0,0,78.67
亚旭视讯科技（吴江）有限公司,7800,0,0,0,0,3,78.67
张家港莫特普数据科技有限公司,300,1,1.2,0,0,0,78.33
中科数据技术（苏州）有限公司,2000,2,2.56,0,18,1,79.17
中移（苏州）软件技术有限公司,60000,2,0.72,0,0,20,80.83
